date,Open,High,Low,Close,Volume
2025-09-18 07:29:00,1.4,1.4,1.38,1.38,924.0
2025-09-18 08:00:00,1.43,1.43,1.38,1.38,1476.0
2025-09-18 08:21:00,1.4205,1.4205,1.4205,1.4205,1390.0
2025-09-18 08:26:00,1.42,1.42,1.42,1.42,500.0
2025-09-18 08:35:00,1.39,1.39,1.38,1.38,1000.0
2025-09-18 08:46:00,1.39,1.39,1.39,1.39,50.0
2025-09-18 09:30:00,1.44,1.44,1.44,1.44,2998.0
2025-09-18 09:31:00,1.4204,1.4204,1.4204,1.4204,919.0
2025-09-18 09:32:00,1.4599,1.4599,1.4599,1.4599,4790.0
2025-09-18 09:33:00,1.4595,1.46,1.45,1.45,1269.0
2025-09-18 09:34:00,1.44,1.45,1.44,1.45,3004.0
2025-09-18 09:35:00,1.45,1.46,1.45,1.46,902.0
2025-09-18 09:36:00,1.46,1.475,1.457,1.475,3586.0
2025-09-18 09:37:00,1.475,1.475,1.475,1.475,120.0
2025-09-18 09:38:00,1.48,1.48,1.4794,1.4794,1045.0
2025-09-18 09:39:00,1.478,1.5099,1.475,1.5099,15922.0
2025-09-18 09:40:00,1.5095,1.5095,1.5095,1.5095,733.0
2025-09-18 09:41:00,1.51,1.52,1.51,1.52,3707.0
2025-09-18 09:42:00,1.515,1.529,1.5106,1.52,8549.0
2025-09-18 09:43:00,1.5142,1.52,1.5142,1.52,8850.0
2025-09-18 09:44:00,1.5198,1.5295,1.5198,1.5295,3861.0
2025-09-18 09:45:00,1.53,1.53,1.53,1.53,5597.0
2025-09-18 09:46:00,1.53,1.56,1.525,1.56,74734.0
2025-09-18 09:47:00,1.56,1.56,1.54,1.54,5474.0
2025-09-18 09:48:00,1.55,1.55,1.55,1.55,506.0
2025-09-18 09:49:00,1.55,1.55,1.5437,1.5437,6682.0
2025-09-18 09:50:00,1.5306,1.55,1.5305,1.55,2104.0
2025-09-18 09:51:00,1.54,1.55,1.5371,1.5371,9099.0
2025-09-18 09:52:00,1.55,1.55,1.5307,1.54,1178.0
2025-09-18 09:53:00,1.5352,1.5352,1.5338,1.5338,4953.0
2025-09-18 09:54:00,1.54,1.54,1.5305,1.5305,2081.0
2025-09-18 09:55:00,1.5393,1.5448,1.5393,1.5394,1469.0
2025-09-18 09:56:00,1.53,1.545,1.5135,1.545,8892.0
2025-09-18 09:57:00,1.545,1.5481,1.54,1.5481,6353.0
2025-09-18 09:58:00,1.5497,1.5497,1.5497,1.5497,267.0
2025-09-18 09:59:00,1.55,1.55,1.545,1.545,836.0
2025-09-18 10:00:00,1.55,1.5594,1.55,1.5594,13770.0
2025-09-18 10:01:00,1.5506,1.565,1.5506,1.56,5315.0
2025-09-18 10:02:00,1.5401,1.5401,1.5394,1.5394,14679.0
2025-09-18 10:03:00,1.535,1.535,1.535,1.535,404.0
2025-09-18 10:04:00,1.533,1.533,1.533,1.533,8914.0
2025-09-18 10:05:00,1.5311,1.54,1.5311,1.54,5604.0
2025-09-18 10:06:00,1.53,1.55,1.53,1.55,5545.0
2025-09-18 10:07:00,1.55,1.55,1.5406,1.545,976.0
2025-09-18 10:08:00,1.5401,1.545,1.5401,1.5401,7173.0
2025-09-18 10:09:00,1.55,1.55,1.54,1.55,1916.0
2025-09-18 10:10:00,1.545,1.545,1.545,1.545,786.0
2025-09-18 10:11:00,1.5486,1.5486,1.535,1.535,2499.0
2025-09-18 10:12:00,1.54,1.5474,1.54,1.5474,987.0
2025-09-18 10:13:00,1.5465,1.5465,1.5465,1.5465,820.0
2025-09-18 10:14:00,1.535,1.54,1.53,1.54,1630.0
2025-09-18 10:15:00,1.5314,1.535,1.5314,1.535,13345.0
2025-09-18 10:16:00,1.535,1.54,1.5315,1.5315,500.0
2025-09-18 10:17:00,1.538,1.575,1.538,1.575,25889.0
2025-09-18 10:18:00,1.575,1.6,1.5701,1.6,26198.0
2025-09-18 10:19:00,1.6,1.615,1.5906,1.615,29586.0
2025-09-18 10:20:00,1.6109,1.63,1.6109,1.63,17896.0
2025-09-18 10:21:00,1.6294,1.63,1.6202,1.625,14177.0
2025-09-18 10:22:00,1.6294,1.92,1.6204,1.92,352784.0
2025-09-18 10:23:00,1.92,1.92,1.92,1.92,175.0
2025-09-18 10:33:00,2.2,2.32,1.95,2.315,2612783.0
2025-09-18 10:34:00,2.3107,2.34,2.16,2.22,1786479.0
2025-09-18 10:35:00,2.22,2.43,2.15,2.3,1828184.0
2025-09-18 10:36:00,2.295,2.4392,2.2706,2.3591,1724732.0
2025-09-18 10:37:00,2.357,2.39,2.18,2.2002,1304380.0
2025-09-18 10:38:00,2.205,2.21,2.05,2.1001,1651481.0
2025-09-18 10:39:00,2.105,2.2,2.08,2.1611,961353.0
2025-09-18 10:40:00,2.1699,2.3,2.1601,2.2987,1162163.0
2025-09-18 10:41:00,2.2912,2.33,2.23,2.3192,1291820.0
2025-09-18 10:42:00,2.3111,2.39,2.26,2.36,1212646.0
2025-09-18 10:43:00,2.355,2.37,2.25,2.3008,1448822.0
2025-09-18 10:44:00,2.3091,2.52,2.29,2.49,2468443.0
2025-09-18 10:45:00,2.49,2.58,2.41,2.4125,2252648.0
2025-09-18 10:46:00,2.4155,2.4801,2.35,2.4192,1652780.0
2025-09-18 10:47:00,2.4109,2.51,2.4109,2.4809,1063447.0
