date,open,high,low,close,volume
2020-06-18,10.95,11.5,10.7,10.8038,474675.0
2020-06-19,11.4,11.4,10.83,10.93,57368.0
2020-06-22,11.11,12.825,10.9,11.36,526116.0
2020-06-23,11.65,12.23,11.25,11.61,321693.0
2020-06-24,11.86,11.86,11.15,11.25,214841.0
2020-06-25,11.12,11.4,11.12,11.37,217788.0
2020-06-26,11.64,11.64,11.1,11.28,104128.0
2020-06-29,11.39,12.07,11.36,11.68,305967.0
2020-06-30,12.09,12.09,11.6,11.75,395393.0
2020-07-01,11.75,11.8,11.61,11.61,264223.0
2020-07-02,11.75,11.75,11.46,11.48,228203.0
2020-07-06,11.75,11.75,11.4,11.4,277739.0
2020-07-07,11.75,11.75,11.3,11.4,220031.0
2020-07-08,11.57,11.57,11.3,11.45,206256.0
2020-07-09,11.7,11.74,11.55,11.63,167139.0
2020-07-10,11.75,11.8,11.6,11.8,433421.0
2020-07-13,12.0,12.15,11.45,11.48,1592233.0
2020-07-14,11.6,11.6,11.38,11.45,147479.0
2020-07-15,11.66,11.66,11.4,11.64,173504.0
2020-07-16,11.75,12.05,11.7,12.0,224740.0
2020-07-17,12.05,12.14,11.88,12.0,220166.0
2020-07-20,12.01,12.15,11.7,11.93,301696.0
2020-07-21,12.17,12.45,11.93,12.0,491027.0
2020-07-22,12.27,12.34,11.9,12.05,1008323.0
2020-07-23,12.14,12.17,11.6,11.95,474813.0
2020-07-24,12.02,12.02,11.85,11.925,203692.0
2020-07-27,12.32,12.32,11.86,12.0,484259.0
2020-07-28,12.05,12.1,11.85,11.87,123219.0
2020-07-29,11.9,11.9999,11.55,11.68,290213.0
2020-07-30,11.65,11.7999,11.27,11.29,572470.0
2020-07-31,11.37,11.37,10.8,10.85,549995.0
2020-08-03,11.13,11.175,10.83,10.84,327719.0
2020-08-04,10.9,10.99,10.81,10.99,118724.0
2020-08-05,11.05,11.18,10.9,11.04,134157.0
2020-08-06,11.09,11.15,10.9401,11.035,126901.0
2020-08-07,11.08,11.11,10.91,10.99,305110.0
2020-08-10,11.19,11.19,10.91,10.91,154893.0
2020-08-11,11.08,11.13,10.85,10.88,773091.0
2020-08-12,10.96,10.97,10.8,10.85,432113.0
2020-08-13,10.9,11.0,10.76,10.86,292707.0
2020-08-14,10.85,11.14,10.85,10.97,113174.0
2020-08-17,11.0,11.1294,10.98,11.05,228512.0
2020-08-18,11.08,11.1,10.82,10.85,383445.0
2020-08-19,11.0,11.0,10.78,10.9,411134.0
2020-08-20,11.0,11.0,10.75,10.78,142375.0
2020-08-21,10.85,10.97,10.68,10.94,141346.0
2020-08-24,10.99,11.05,10.8,10.98,212054.0
2020-08-25,11.0,11.0,10.7,10.8,252751.0
2020-08-26,10.91,10.91,10.7,10.75,132811.0
2020-08-27,10.8,10.8,10.55,10.61,298034.0
2020-08-28,10.85,10.85,10.65,10.8,555059.0
2020-08-31,10.94,10.94,10.7,10.73,135183.0
2020-09-01,10.81,10.9,10.75,10.9,196813.0
2020-09-02,10.95,11.2,10.83,11.11,717982.0
2020-09-03,11.2,11.3633,10.95,11.19,415775.0
2020-09-04,11.4,12.19,11.11,12.0,991065.0
2020-09-08,11.97,12.0,11.81,12.0,319879.0
2020-09-09,12.05,12.15,11.9,11.92,231437.0
2020-09-10,12.13,13.33,11.96,12.41,2887016.0
2020-09-11,13.18,13.26,12.0,12.7,3982728.0
2020-09-14,12.6,13.25,12.5,13.05,1415976.0
2020-09-15,15.55,18.08,14.82,17.56,63214397.0
2020-09-16,16.08,16.74,15.73,15.9,9163953.0
2020-09-17,15.93,16.43,15.3,15.41,3577963.0
2020-09-18,15.69,15.74,14.58,14.6,3535454.0
2020-09-21,15.25,15.86,13.9,15.35,3685071.0
2020-09-22,15.89,16.78,15.61,16.78,4840912.0
2020-09-23,16.69,17.5,15.06,15.27,4655669.0
2020-09-24,14.96,16.2399,14.01,15.89,2845247.0
2020-09-25,15.79,16.75,15.4,16.42,2497458.0
2020-09-28,16.95,17.24,16.55,16.72,1951518.0
2020-09-29,17.48,19.4,17.1622,18.75,4773151.0
2020-09-30,19.35,19.47,18.3,18.99,2636150.0
2020-10-01,19.08,19.3,18.03,18.57,2215017.0
2020-10-02,17.77,18.97,17.41,18.41,1798003.0
2020-10-05,19.18,19.18,17.92,18.25,1560949.0
2020-10-06,18.41,18.445,16.15,16.35,5036117.0
2020-10-07,17.01,17.73,16.8,17.57,2375121.0
2020-10-08,18.42,19.07,17.92,18.78,3242265.0
2020-10-09,19.55,22.45,19.5,21.24,6433794.0
2020-10-12,23.97,24.27,22.6,23.2,5569653.0
2020-10-13,22.89,24.3299,22.47,24.08,2840216.0
2020-10-14,24.83,26.56,24.12,26.48,6479874.0
2020-10-15,25.17,27.0,23.51,23.93,4844259.0
2020-10-16,24.8,24.98,21.95,22.91,2862721.0
2020-10-19,23.15,23.34,20.8,21.34,3241554.0
2020-10-20,21.1,23.53,21.02,22.73,3643642.0
2020-10-21,22.7,22.7,21.4,21.92,1691214.0
