date,Open,High,Low,Close,Volume
2025-09-22 04:18:00,6.46,6.46,6.4,6.4,202.0
2025-09-22 04:26:00,6.4,6.4,6.4,6.4,15.0
2025-09-22 04:36:00,6.39,6.39,6.39,6.39,30.0
2025-09-22 04:46:00,6.39,6.4,6.39,6.4,100.0
2025-09-22 04:50:00,6.4,6.4,6.4,6.4,97.0
2025-09-22 04:51:00,6.4,6.4,6.16,6.16,449.0
2025-09-22 05:51:00,6.33,6.33,6.33,6.33,50.0
2025-09-22 06:41:00,6.36,6.4,6.29,6.29,340.0
2025-09-22 06:42:00,6.22,6.22,6.22,6.22,86.0
2025-09-22 07:00:00,6.37,6.4,6.29,6.4,560.0
2025-09-22 07:02:00,6.3,6.3,6.24,6.24,12.0
2025-09-22 07:04:00,6.4,6.4,6.4,6.4,30.0
2025-09-22 07:12:00,6.4,6.4,6.4,6.4,176.0
2025-09-22 07:15:00,6.4,6.4,6.4,6.4,1.0
2025-09-22 07:30:00,6.4,6.4,6.4,6.4,9.0
2025-09-22 07:59:00,6.32,6.32,6.32,6.32,193.0
2025-09-22 08:00:00,6.39,6.4,6.23,6.38,1200.0
2025-09-22 08:01:00,6.32,6.33,6.32,6.33,510.0
2025-09-22 08:04:00,6.3,6.3,6.3,6.3,200.0
2025-09-22 08:14:00,6.33,6.33,6.33,6.33,20.0
2025-09-22 08:15:00,6.34,6.34,6.33,6.33,400.0
2025-09-22 08:17:00,6.3301,6.3301,6.3301,6.3301,1.0
2025-09-22 08:20:00,6.2745,6.2745,6.2745,6.2745,100.0
2025-09-22 08:32:00,6.39,6.39,6.39,6.39,70.0
2025-09-22 09:02:00,6.38,6.38,6.38,6.38,10.0
2025-09-22 09:04:00,6.36,6.36,6.36,6.36,2.0
2025-09-22 09:10:00,6.37,6.37,6.37,6.37,10.0
2025-09-22 09:14:00,6.34,6.34,6.34,6.34,30.0
2025-09-22 09:18:00,6.34,6.34,6.33,6.33,98.0
2025-09-22 09:20:00,6.2436,6.2436,6.2436,6.2436,50.0
2025-09-22 09:30:00,6.35,6.35,6.35,6.35,3557.0
2025-09-22 09:33:00,6.315,6.315,6.315,6.315,100.0
2025-09-22 09:34:00,6.251,6.29,6.25,6.25,2322.0
2025-09-22 09:36:00,6.24,6.25,6.24,6.24,1957.0
2025-09-22 09:37:00,6.24,6.24,6.24,6.24,445.0
2025-09-22 09:38:00,6.22,6.24,6.21,6.22,2331.0
2025-09-22 09:39:00,6.275,6.275,6.2213,6.2213,1756.0
